ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	32.47	151.00	22.00	0	0	0	0	N/A	N/A		465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	54.00	8.00	62.00	100.00	1467.00	37.58	0	0	0	0	N/A	N/A	mdtO (1)	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(3)-IIIc	3002538	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	7.26	61.00	11.00	0	0	0	0	N/A	N/A		840	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	1.00	1.00	2.00	13.11	151.00	5.50	0	0	0	0	N/A	N/A		1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
TEM-34	3000904	protein homolog model	CARD	1	100.0	no data	no data	Haemophilus parainfluenzae	1.00	0.00	1.00	17.54	151.00	1.00	0	0	0	0	N/A	N/A	TEM-30 (1)	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
QnrB47	3002762	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	1.00	0.00	1.00	23.41	151.00	1.00	0	0	0	0	N/A	N/A	QnrB19 (1)	645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
OXA-256	3001502	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	78.00	13.00	91.00	100.00	801.00	1.02	0	0	0	0	N/A	N/A	OXA-16 (1); OXA-824 (1); aadA (1); ANT(3'')-IIa (1); OXA-14 (1); OXA-11 (1); aadA12 (1); OXA-251 (1); qacEdelta1 (1); aadA17 (1); aadA22 (1); aadA11 (1); aadA23 (1); ANT(2'')-Ia (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	83.00	39.00	122.00	100.00	657.00	0.69	0	0	0	0	N/A	N/A	QnrS2 (1)	657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	50.00	6.00	56.00	96.22	534.00	8.02	0	0	0	0	N/A	N/A	OXA-732 (1); OXA-233 (1); AAC(6')-Ib7 (1); cmlA4 (1); cmlA1 (1); cmlA5 (1); cmlA6 (1); QnrVC5 (1); QnrVC4 (1); AAC(6')-Ib-cr1 (1); AAC(6')-Ib10 (1); OXA-21 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
GES-21	3002350	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	22.00	4.00	26.00	88.66	766.00	0.85	0	0	0	0	N/A	N/A	GES-6 (1); GES-43 (1); GES-2 (1); AAC(6')-Ib7 (1); GES-28 (1); GES-38 (1); GES-19 (1); GES-27 (1); qacEdelta1 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	83.00	16.00	99.00	100.00	780.00	1.03	0	0	0	0	N/A	N/A	OXA-823 (1); OXA-17 (1); aadA (1); OXA-935 (1); AAC(6')-Ib7 (1); OXA-256 (1); aadA25 (1); aadA8 (1); aadA6 (1); OXA-246 (1); OXA-794 (1); EreA (1); qacEdelta1 (1); ANT(3'')-IIa (1); OXA-520 (1); aadA17 (1); OXA-251 (1); qacE (1); aadA15 (1); aadA13 (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-35	3001429	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	15.00	10.00	25.00	80.90	648.00	0.44	0	0	0	0	N/A	N/A	OXA-145 (1); OXA-28 (1); qacE (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-55	3002066	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	13.18	151.00	1.00	0	0	0	0	N/A	N/A	CMY-29 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	24.00	4.00	28.00	100.00	825.00	36.50	0	0	0	0	N/A	N/A		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	31.00	8.00	39.00	99.13	907.00	24.26	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1)	915	TLA beta-lactamase	fluoroquinolone antibiotic; monobactam; cephalosporin	antibiotic inactivation
CARB-4	3002243	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.00	3.00	6.00	29.30	254.00	0.50	0	0	0	0	N/A	N/A		867	CARB beta-lactamase	penam	antibiotic inactivation
VEB-5	3002375	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	10.00	1.00	11.00	75.33	678.00	0.91	0	0	0	0	N/A	N/A	VEB-19 (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
dfrA13	3003012	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	43.98	219.00	1.00	0	0	0	0	N/A	N/A		498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
aadA4	3002604	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	293.00	54.00	347.00	100.00	789.00	14.19	0	0	0	0	N/A	N/A	OXA-732 (1); aadA22 (1); OXA-205 (1); qacEdelta1 (1); qacE (1); sul1 (1); qacL (1); aadA5 (1)	789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	139.00	51.00	190.00	97.40	3033.00	24.55	0	0	0	0	N/A	N/A	mdtE (1); acrB (1); AcrF (1); gadW (1)	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	185.00	185.00	370.00	18.15	300.00	10.30	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
TEM-198	3001057	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	35.08	302.00	1.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
cphA7	3003103	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	2.00	2.00	4.00	5.10	39.00	11.00	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	93.00	20.00	113.00	100.00	792.00	0.66	0	0	0	0	N/A	N/A	aadA2 (1); aadA8b (1); aadA8 (1); aadA15 (1); aadA3 (1); aadA22 (1); OXA-737 (1); OXA-240 (1); ANT(3'')-IIa (1); OXA-101 (1); OXA-454 (1); OXA-233 (1); OXA-1 (1); qacL (1); OXA-256 (1); qacE (1); aadA25 (1); qacEdelta1 (1); OXA-655 (1); OXA-663 (1); OXA-368 (1); aadA6 (1); OXA-246 (1); AAC(6')-Ib7 (1); sul1 (1)	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	68.00	15.00	83.00	100.00	633.00	29.58	0	0	0	0	N/A	N/A	arr-3 (1); AAC(6')-Ib7 (1); OXA-520 (1); qacEdelta1 (1); OXA-11 (1); GES-18 (1); qacL (1); OXA-3 (1); OXA-454 (1); OXA-415 (1); EreA (1); qacE (1); arr-2 (1); sul1 (1); OXA-2 (1); OXA-14 (1)	633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	96.00	20.00	116.00	100.00	1374.00	27.95	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	5.00	5.00	10.00	2.14	68.00	11.00	0	0	0	0	N/A	N/A		3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
dfrA21	3003017	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	3.00	0.00	3.00	65.66	327.00	7.67	0	0	0	0	N/A	N/A	qacEdelta1 (1)	498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
myrA	3001300	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	1.00	1.00	2.00	4.28	38.00	11.00	0	0	0	0	N/A	N/A		888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.00	3.00	8.00	43.51	530.00	26.75	0	0	0	0	N/A	N/A		1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tsnR	3003060	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces laurentii	1.00	1.00	2.00	7.63	62.00	11.00	0	0	0	0	N/A	N/A		813	non-erm 23S ribosomal RNA methyltransferase (A1067)	peptide antibiotic	antibiotic target alteration
fosA5	3003209	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	8.00	8.00	16.00	100.00	420.00	2.50	0	0	0	0	N/A	N/A		420	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
Streptomyces lividans cmlR	3002690	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lividans	3.00	1.00	4.00	16.20	191.00	16.50	0	0	0	0	N/A	N/A		1179	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	170.00	52.00	222.00	100.00	966.00	2.35	0	0	0	0	N/A	N/A	CfxA (1); CfxA4 (1); CfxA6 (1); CfxA5 (1); CfxA3 (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
GES-14	3002343	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	74.00	13.00	87.00	94.10	813.00	0.85	0	0	0	0	N/A	N/A	GES-20 (1); GES-13 (1); GES-45 (1); GES-3 (1); AAC(6')-Ib7 (1); GES-39 (1); GES-2 (1); GES-7 (1); GES-34 (1); GES-42 (1); GES-25 (1); GES-29 (1); dfrB2 (1); dfrB5 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
SHV-61	3001116	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	35.08	302.00	1.00	0	0	0	0	N/A	N/A		861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
SRT-1	3002493	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	1.00	1.00	2.00	7.21	82.00	11.00	0	0	0	0	N/A	N/A		1137	SRT beta-lactamase	cephalosporin	antibiotic inactivation
GES-12	3002341	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	36.00	5.00	41.00	98.73	853.00	0.88	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); GES-27 (1); GES-3 (1); GES-29 (1); GES-31 (1); dfrB2 (1); GES-11 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(3)-Ib/AAC(6')-Ib''	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	9.00	0.00	9.00	45.27	455.00	0.78	0	0	0	0	N/A	N/A	GES-22 (1); dfrA1 (1); dfrA7 (1); qacEdelta1 (1)	1005	AAC(3); AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
OXA-21	3001416	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	52.00	11.00	63.00	100.00	828.00	4.94	0	0	0	0	N/A	N/A	OXA-2 (1); OXA-3 (1); aadA5 (1); AAC(6')-Ib7 (1); AAC(6')-Ib (1); aadA8b (1); qacE (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OKP-A-12	3002429	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	22.76	196.00	7.33	0	0	0	0	N/A	N/A	OKP-B-20 (1)	861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
GES-3	3002332	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	25.00	6.00	31.00	80.67	697.00	0.71	0	0	0	0	N/A	N/A	GES-43 (1); GES-38 (1); GES-14 (1); GES-35 (1); GES-42 (1); GES-24 (1); GES-2 (1); GES-36 (1); qacEdelta1 (1); GES-12 (1); AAC(6')-Ib-cr3 (1); AAC(6')-IIa (1); GES-16 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	3.00	3.00	6.00	19.64	142.00	11.67	0	0	0	0	N/A	N/A		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
QnrS8	3002797	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	22.98	151.00	0.50	0	0	0	0	N/A	N/A		657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
OXA-9	3001404	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	17.00	0.00	17.00	97.58	805.00	3.41	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); qacE (1); qacEdelta1 (1); ANT(3'')-IIa (1); aadA15 (1); aadA (1)	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	635.00	100.00	735.00	100.00	1260.00	5.62	0	0	0	0	N/A	N/A	Salmonella_enterica_cmlA (1); cmlA6 (1); cmlA1 (1); AAC(6')-Ib7 (1); arr-2 (1); AAC(6')-Ib8 (1); dfr22 (1); GES-2 (1); AAC(6')-Ib (1); aadA6 (1); aadA (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1); AAC(6')-Ib4 (1); aadA8 (1); AAC(6')-Ib11 (1); GES-17 (1); AAC(6')-Ib3 (1); AAC(6')-Ib-cr6 (1); cmlA4 (1); VEB-25 (1); VEB-11 (1); VEB-26 (1); qacEdelta1 (1); VEB-19 (1); OXA-454 (1); VEB-13 (1); OXA-74 (1); OXA-246 (1); VEB-1b (1); VEB-10 (1); OXA-520 (1); OXA-233 (1); VEB-1 (1); OXA-663 (1); VEB-4 (1); OXA-823 (1); OXA-368 (1); VEB-23 (1); VEB-14 (1); OXA-836 (1)	1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
OKP-B-9	3002442	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	7.90	68.00	0.00	0	0	0	0	N/A	N/A		861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
ACT-37	3003172	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.00	0.00	2.00	26.35	302.00	1.00	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
CMY-65	3002078	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter sp.	2.00	0.00	2.00	20.42	234.00	11.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	39.00	17.00	56.00	100.00	804.00	2.96	0	0	0	0	N/A	N/A	lnuB (1)	804	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	17.00	9.00	26.00	89.06	887.00	13.23	0	0	0	0	N/A	N/A	CfxA5 (1); CfxA2 (1)	996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
LEN-20	3002467	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	23.46	202.00	1.00	0	0	0	0	N/A	N/A		861	LEN beta-lactamase	penam; penem	antibiotic inactivation
CMY-4	3002015	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	5.00	0.00	5.00	40.59	464.00	9.00	0	0	0	0	N/A	N/A	CMY-95 (1)	1143	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-7	3002376	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	9.00	2.00	11.00	54.33	489.00	0.82	0	0	0	0	N/A	N/A	VEB-4 (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
TEM-91	3000958	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	35.08	302.00	1.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	43.00	30.00	73.00	65.57	777.00	12.89	0	0	0	0	N/A	N/A	MexA (1); smeB (1); smeE (1)	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
vatD	3002843	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	5.00	5.00	10.00	31.38	193.00	11.00	0	0	0	0	N/A	N/A		615	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	4.00	2.00	6.00	58.33	476.00	29.33	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	122.00	50.00	172.00	100.00	966.00	2.17	0	0	0	0	N/A	N/A	CfxA5 (1); CfxA3 (1); CfxA2 (1); CfxA (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
OXA-145	3001804	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	19.00	8.00	27.00	76.44	610.00	0.59	0	0	0	0	N/A	N/A	EreA2 (1); OXA-183 (1); OXA-35 (1); OXA-736 (1); OXA-101 (1)	798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-95	3002108	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	13.18	151.00	1.00	0	0	0	0	N/A	N/A	CMY-4 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	14.00	8.00	22.00	93.02	720.00	25.55	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
CMY-35	3002046	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	1.00	0.00	1.00	13.18	151.00	1.00	0	0	0	0	N/A	N/A	CMY-59 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
TEM-176	3001041	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	1.00	2.00	17.54	151.00	0.50	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
aadA9	3002609	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	27.00	23.00	50.00	16.11	145.00	1.80	0	0	0	0	N/A	N/A	catB8 (1); qacL (1)	900	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OprN	3000805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	124.00	39.00	163.00	87.46	1241.00	17.79	0	0	0	0	N/A	N/A	MexF (1)	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
GES-17	3002346	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	28.00	10.00	38.00	93.06	804.00	0.71	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); GES-38 (1); GES-28 (1); cmlA5 (1); aadA2 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
vanR gene in vanF cluster	3002925	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus popilliae	1.00	1.00	2.00	7.33	51.00	11.00	0	0	0	0	N/A	N/A		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
CepS	3003553	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	3.00	0.00	3.00	8.88	102.00	22.00	0	0	0	0	N/A	N/A	PDC-447 (1)	1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
mexX	3003034	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	15.00	15.00	30.00	16.07	188.00	11.00	0	0	0	0	N/A	N/A		1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
smeS	3003067	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	21.00	21.00	42.00	4.42	62.00	11.00	0	0	0	0	N/A	N/A		1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
OXA-31	3001425	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	17.33	144.00	0.00	0	0	0	0	N/A	N/A	EreA (1); aadA5 (1)	831	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
mdtH	3001216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	18.00	10.00	28.00	87.76	1061.00	22.86	0	0	0	0	N/A	N/A		1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	70.00	48.00	118.00	100.00	495.00	23.14	0	0	0	0	N/A	N/A		495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
