ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	43.00	27.00	70.00	93.46	614.00	0.51	0	0	0	0	N/A	N/A	QnrS2 (1)	657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	18.00	2.00	20.00	93.33	518.00	7.00	0	0	0	0	N/A	N/A	cmlA1 (1); cmlA4 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
GES-21	3002350	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	12.00	4.00	16.00	74.88	647.00	0.69	0	0	0	0	N/A	N/A	GES-2 (1); qacEdelta1 (1); aadA25 (1); dfrA7 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
TEM-132	3000996	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	12.54	108.00	1.00	0	0	0	0	N/A	N/A	TEM-169 (1)	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	42.00	10.00	52.00	98.46	768.00	0.75	0	0	0	0	N/A	N/A	aadA13 (1); OXA-256 (1); OXA-16 (1); OXA-47 (1); aadA5 (1); ANT(3'')-IIa (1); OXA-928 (1); OXA-56 (1); aadA24 (1); qacEdelta1 (1); qacE (1); OXA-147 (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-35	3001429	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	16.00	8.00	24.00	86.52	693.00	0.62	0	0	0	0	N/A	N/A	OXA-13 (1); AAC(6')-Ib7 (1); OXA-101 (1); OXA-145 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
PER-4	3002366	protein homolog model	CARD	1	100.0	no data	no data	Proteus vulgaris	1.00	1.00	2.00	16.29	151.00	0.50	0	0	0	0	N/A	N/A		927	PER beta-lactamase	monobactam; carbapenem; cephalosporin; penam; penem	antibiotic inactivation
TEM-102	3000965	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pWW100	1.00	1.00	2.00	3.60	31.00	0.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.00	2.00	16.00	95.76	790.00	36.69	0	0	0	0	N/A	N/A	gadW (1)	825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
CMY-56	3002067	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	26.35	302.00	1.00	0	0	0	0	N/A	N/A	CMY-148 (1); CMY-27 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	15.00	1.00	16.00	90.27	826.00	28.12	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	fluoroquinolone antibiotic; monobactam; cephalosporin	antibiotic inactivation
CARB-4	3002243	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	17.42	151.00	5.50	0	0	0	0	N/A	N/A		867	CARB beta-lactamase	penam	antibiotic inactivation
VEB-5	3002375	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	1.00	5.00	39.33	354.00	0.40	0	0	0	0	N/A	N/A	ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
aadA4	3002604	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	193.00	46.00	239.00	100.00	789.00	13.56	0	0	0	0	N/A	N/A	OXA-732 (1); OXA-205 (1); OXA-541 (1); qacEdelta1 (1); aadA6 (1); qacE (1); OXA-5 (1)	789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	80.00	46.00	126.00	83.98	2615.00	17.21	0	0	0	0	N/A	N/A	smeB (1)	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	214.00	210.00	424.00	10.47	173.00	10.02	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
cphA7	3003103	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	4.00	3.00	7.00	56.47	432.00	5.00	0	0	0	0	N/A	N/A	cphA4 (1)	765	CphA beta-lactamase	carbapenem	antibiotic inactivation
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	56.00	23.00	79.00	100.00	792.00	0.84	0	0	0	0	N/A	N/A	GES-29 (1); OXA-655 (1); aadA8b (1); aadA6 (1); catB8 (1); qacEdelta1 (1); qacE (1); aadA24 (1); ANT(3'')-IIa (1); OXA-14 (1); aadA2 (1); sul1 (1); aadA3 (1)	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	77.00	10.00	87.00	100.00	633.00	29.39	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); EreA (1); GES-43 (1); OXA-655 (1); OXA-921 (1); aadA15 (1); OXA-10 (1); OXA-11 (1); OXA-32 (1); OXA-17 (1); dfrA1 (1); catB8 (1); OXA-823 (1); OXA-663 (1); OXA-928 (1)	633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	25.00	7.00	32.00	99.20	1363.00	28.25	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	3.00	3.00	6.00	2.01	64.00	11.00	0	0	0	0	N/A	N/A		3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
dfrA21	3003017	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	2.00	0.00	2.00	40.36	201.00	11.00	0	0	0	0	N/A	N/A		498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
myrA	3001300	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	1.00	1.00	2.00	7.09	63.00	11.00	0	0	0	0	N/A	N/A		888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
tet(42)	3000572	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus sp.	1.00	1.00	2.00	8.31	107.00	11.00	0	0	0	0	N/A	N/A		1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.00	0.00	6.00	55.25	673.00	44.00	0	0	0	0	N/A	N/A		1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
fosA5	3003209	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	2.00	4.00	48.33	203.00	2.75	0	0	0	0	N/A	N/A		420	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
Streptomyces lividans cmlR	3002690	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lividans	3.00	1.00	4.00	23.92	282.00	13.25	0	0	0	0	N/A	N/A		1179	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
TEM-78	3000944	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	35.08	302.00	1.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	183.00	65.00	248.00	100.00	966.00	2.30	0	0	0	0	N/A	N/A	CfxA5 (1); CfxA (1); CfxA4 (1); CfxA3 (1); CfxA6 (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CMY-25	3002036	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	2.00	4.00	24.43	280.00	0.50	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
GES-14	3002343	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	38.00	5.00	43.00	88.19	762.00	0.86	0	0	0	0	N/A	N/A	GES-37 (1); AAC(6')-Ib7 (1); GES-3 (1); GES-1 (1); GES-42 (1); GES-33 (1); GES-2 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-232	3001778	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	23.31	186.00	1.00	0	0	0	0	N/A	N/A		798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-12	3001407	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	2.00	0.00	2.00	27.92	222.00	22.00	0	0	0	0	N/A	N/A		795	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OCH-3	3002516	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	2.00	1.00	3.00	16.11	189.00	0.33	0	0	0	0	N/A	N/A	OCH-4 (1)	1173	OCH beta-lactamase	monobactam; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
GES-12	3002341	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	28.00	7.00	35.00	86.23	745.00	0.74	0	0	0	0	N/A	N/A	GES-41 (1); AAC(6')-Ib7 (1); GES-4 (1); GES-19 (1); GES-13 (1); GES-36 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(3)-Ib/AAC(6')-Ib''	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	24.88	250.00	1.00	0	0	0	0	N/A	N/A		1005	AAC(3); AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
OXA-21	3001416	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	60.00	7.00	67.00	100.00	828.00	4.07	0	0	0	0	N/A	N/A	OXA-3 (1); AAC(6')-Ib7 (1); aadA5 (1); qacEdelta1 (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
GES-3	3002332	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	17.00	3.00	20.00	79.40	686.00	0.85	0	0	0	0	N/A	N/A	GES-14 (1); GES-2 (1); GES-42 (1); GES-15 (1); dfrA1 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	2.00	2.00	4.00	28.77	208.00	12.00	0	0	0	0	N/A	N/A		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-181	3001784	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	4.00	0.00	4.00	64.04	511.00	1.00	0	0	0	0	N/A	N/A		798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
ACT-19	3001840	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.00	0.00	2.00	26.35	302.00	11.00	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
OXA-9	3001404	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	7.00	1.00	8.00	78.18	645.00	0.75	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	357.00	77.00	434.00	100.00	1260.00	5.51	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); AAC(6')-Ib8 (1); cmlA1 (1); cmlA6 (1); Salmonella_enterica_cmlA (1); GES-8 (1); cmlA4 (1); qacE (1); VEB-26 (1); cmlA8 (1); VEB-1 (1); OXA-392 (1); qacEdelta1 (1); VEB-2 (1); OXA-823 (1); OXA-520 (1); OXA-836 (1); OXA-795 (1); OXA-368 (1)	1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
TEM-158	3001024	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	17.54	151.00	1.00	0	0	0	0	N/A	N/A	TEM-79 (1)	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ACT-37	3003172	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	4.00	2.00	6.00	32.72	375.00	11.83	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	36.00	22.00	58.00	100.00	804.00	2.10	0	0	0	0	N/A	N/A	lnuB (1)	804	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	17.00	11.00	28.00	63.65	634.00	8.14	0	0	0	0	N/A	N/A	CfxA2 (1); CfxA (1)	996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CMY-8	3002019	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	3.00	6.00	22.28	256.00	0.17	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
CMY-4	3002015	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	15.00	2.00	17.00	57.57	658.00	7.94	0	0	0	0	N/A	N/A	CMY-121 (1); BIL-1 (1); CMY-13 (1)	1143	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-7	3002376	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	3.00	1.00	4.00	50.00	450.00	0.75	0	0	0	0	N/A	N/A	ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
imiS	3003095	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	4.00	1.00	5.00	42.45	326.00	8.00	0	0	0	0	N/A	N/A	cphA6 (1)	768	CphA beta-lactamase	carbapenem	antibiotic inactivation
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	59.00	47.00	106.00	65.99	782.00	12.02	0	0	0	0	N/A	N/A	MexA (1); smeE (1)	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
vatD	3002843	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	1.00	2.00	21.46	132.00	11.00	0	0	0	0	N/A	N/A		615	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	4.00	2.00	6.00	62.99	514.00	29.33	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	120.00	42.00	162.00	100.00	966.00	1.15	0	0	0	0	N/A	N/A	CfxA (1); CfxA5 (1); CfxA3 (1); CfxA2 (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
OXA-145	3001804	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	38.00	17.00	55.00	98.62	787.00	2.87	0	0	0	0	N/A	N/A	OXA-13 (1); OXA-183 (1); OXA-101 (1); aadA (1); OXA-35 (1); OXA-19 (1)	798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-95	3002108	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	13.18	151.00	1.00	0	0	0	0	N/A	N/A	CMY-15 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	22.00	6.00	28.00	100.00	774.00	30.75	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
CMY-35	3002046	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	4.00	0.00	4.00	35.69	409.00	1.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
TEM-176	3001041	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	1.00	2.00	17.54	151.00	0.50	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
aadA9	3002609	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	14.00	6.00	20.00	50.44	454.00	7.40	0	0	0	0	N/A	N/A	qacL (1); qacE (1); sul1 (1)	900	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OprN	3000805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	223.00	92.00	315.00	90.13	1279.00	16.51	0	0	0	0	N/A	N/A	MexF (1); ceoB (1)	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
GES-17	3002346	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	17.00	8.00	25.00	82.29	711.00	0.64	0	0	0	0	N/A	N/A	GES-16 (1); AAC(6')-Ib7 (1); GES-27 (1); GES-45 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CepS	3003553	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	11.00	1.00	12.00	69.45	798.00	28.75	0	0	0	0	N/A	N/A		1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
vanXY gene in vanG cluster	3003069	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	1.00	0.00	1.00	19.74	151.00	44.00	0	0	0	0	N/A	N/A	vanT_gene_in_vanG_cluster (1)	765	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
mexX	3003034	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	10.00	10.00	20.00	16.15	189.00	11.00	0	0	0	0	N/A	N/A		1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
smeS	3003067	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	107.00	107.00	214.00	7.83	110.00	11.00	0	0	0	0	N/A	N/A		1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
OXA-31	3001425	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.00	0.00	3.00	25.51	212.00	0.33	0	0	0	0	N/A	N/A	aadA13 (1); aadA3 (1); aadA5 (1)	831	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
bcrA	3002987	protein homolog model	CARD	1	100.0	no data	no data	Bacillus licheniformis	1.00	1.00	2.00	4.13	38.00	11.00	0	0	0	0	N/A	N/A		921	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
CARB-14	3002252	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.00	0.00	2.00	33.67	302.00	1.00	0	0	0	0	N/A	N/A		897	CARB beta-lactamase	penam	antibiotic inactivation
SHV-15	3001074	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	35.08	302.00	1.00	0	0	0	0	N/A	N/A		861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
mdtH	3001216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	25.00	3.00	28.00	83.95	1015.00	31.64	0	0	0	0	N/A	N/A		1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	23.00	13.00	36.00	100.00	495.00	24.67	0	0	0	0	N/A	N/A		495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-46	3001797	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.00	1.00	8.00	78.65	630.00	3.38	0	0	0	0	N/A	N/A	aadA5 (1); OXA-118 (1); aadA13 (1); ANT(3'')-IIa (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
mdtA	3000792	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	20.00	5.00	25.00	75.48	942.00	26.56	0	0	0	0	N/A	N/A	mdtB (1)	1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
tetW	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	412.00	48.00	460.00	100.00	1920.00	16.68	0	0	0	0	N/A	N/A	tet(W/N/W) (1); tet32 (1)	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
sul3	3000413	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.00	3.00	8.00	49.24	390.00	22.38	0	0	0	0	N/A	N/A		792	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
TEM-2	3000874	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	1.00	3.00	26.02	224.00	0.33	0	0	0	0	N/A	N/A	TEM-36 (1)	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
mdsA	3000789	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	16.00	8.00	24.00	27.22	334.00	14.67	0	0	0	0	N/A	N/A		1227	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
AAC(6')-Ib-Suzhou	3002591	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	29.09	151.00	1.00	0	0	0	0	N/A	N/A	cmlA6 (1)	519	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
