ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	7.00	3.00	10.00	28.82	332.00	5.90	0	0	0	0	N/A	N/A	MOX-12 (1)	1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
OXA-256	3001502	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	48.00	8.00	56.00	99.50	797.00	0.82	0	0	0	0	N/A	N/A	OXA-827 (1); OXA-10 (1); AAC(6')-Ib7 (1); OXA-454 (1); OXA-794 (1); OXA-233 (1); OXA-520 (1); OXA-655 (1); aadA (1); aadA17 (1); aadA12 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	103.00	61.00	164.00	98.93	650.00	0.52	0	0	0	0	N/A	N/A	QnrS2 (1)	657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	121.00	16.00	137.00	95.14	528.00	8.16	0	0	0	0	N/A	N/A	QnrVC7 (1); OXA-240 (1); sul1 (1); aadA5 (1); QnrVC4 (1); cmlA1 (1); cmlA5 (1); cmlA6 (1); qacL (1); AAC(6')-Ib-cr3 (1); AAC(6')-Ib7 (1); AAC(6')-30/AAC(6')-Ib'_fusion_protein (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1); AAC(6')-Ib-cr4 (1); Salmonella_enterica_cmlA (1); qacEdelta1 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
GES-21	3002350	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	23.00	6.00	29.00	85.30	737.00	1.14	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); GES-33 (1); GES-39 (1); GES-22 (1); GES-20 (1); qacEdelta1 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	76.00	23.00	99.00	96.03	749.00	0.88	0	0	0	0	N/A	N/A	dfrA1 (1); OXA-3 (1); OXA-656 (1); aadA25 (1); aadA (1); aadA8 (1); OXA-10 (1); OXA-74 (1); OXA-655 (1); qacEdelta1 (1); ANT(3'')-IIa (1); aadA3 (1); OXA-16 (1); qacE (1); aadA22 (1); aadA17 (1); cmlA6 (1); aadA15 (1); OXA-226 (1); OXA-520 (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-35	3001429	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	20.00	11.00	31.00	80.52	645.00	0.58	0	0	0	0	N/A	N/A	aadA10 (1); OXA-101 (1); OXA-28 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-55	3002066	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	1.00	2.00	13.18	151.00	0.50	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	8.00	4.00	12.00	68.48	565.00	29.33	0	0	0	0	N/A	N/A		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
CMY-79	3002092	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	3.00	0.00	3.00	30.72	352.00	1.00	0	0	0	0	N/A	N/A	CMY-90 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	42.00	6.00	48.00	90.27	826.00	26.40	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	fluoroquinolone antibiotic; monobactam; cephalosporin	antibiotic inactivation
CARB-4	3002243	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	11.30	98.00	0.50	0	0	0	0	N/A	N/A		867	CARB beta-lactamase	penam	antibiotic inactivation
VEB-5	3002375	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.00	1.00	15.00	79.89	719.00	0.87	0	0	0	0	N/A	N/A	VEB-22 (1); VEB-13 (1); VEB-10 (1); VEB-12 (1); ANT(2'')-Ia (1); VEB-1b (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
dfrA13	3003012	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	2.00	6.00	52.01	259.00	0.50	0	0	0	0	N/A	N/A		498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
aadA4	3002604	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	834.00	190.00	1024.00	100.00	789.00	12.96	0	0	0	0	N/A	N/A	OXA-732 (1); aadA5 (1); qacEdelta1 (1); qacE (1); OXA-5 (1); AAC(6')-Ib7 (1); sul1 (1); qacL (1)	789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	92.00	53.00	145.00	72.09	2245.00	15.41	0	0	0	0	N/A	N/A	mdtE (1); gadW (1)	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
SHV-64	3001119	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	12.66	109.00	1.00	0	0	0	0	N/A	N/A	SHV-202 (1)	861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
TEM-183	3001045	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	1.00	4.00	52.61	453.00	0.75	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	347.00	343.00	690.00	18.94	313.00	10.63	0	0	0	0	N/A	N/A	tlrC (1)	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
rgt1438	3002883	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces sp.	1.00	1.00	2.00	10.28	127.00	11.00	0	0	0	0	N/A	N/A		1236	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation
CMY-9	3002020	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	2.00	4.00	3.48	40.00	0.00	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
APH(2'')-Ie	3002634	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus casseliflavus	2.00	0.00	2.00	29.03	263.00	11.00	0	0	0	0	N/A	N/A		906	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
cphA7	3003103	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	16.00	12.00	28.00	75.29	576.00	9.07	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	95.00	31.00	126.00	100.00	792.00	0.81	0	0	0	0	N/A	N/A	aadA3 (1); aadA17 (1); OXA-256 (1); OXA-928 (1); AAC(6')-Ib7 (1); OXA-827 (1); OXA-3 (1); dfrA1 (1); aadA10 (1); aadA25 (1); aadA24 (1); aadA8 (1); OXA-655 (1); OXA-74 (1); OXA-36 (1); qacE (1); OXA-737 (1); qacEdelta1 (1); aadA6 (1); ANT(3'')-IIa (1); dfrA14 (1); aadA (1); aadA8b (1); aadA2 (1); sul1 (1); EreA (1)	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	171.00	31.00	202.00	100.00	633.00	29.04	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); OXA-675 (1); EreA (1); QnrVC4 (1); qacL (1); OXA-823 (1); OXA-656 (1); arr-2 (1); dfrA1 (1); OXA-240 (1); OXA-251 (1); OXA-17 (1); OXA-14 (1); OXA-233 (1); qacEdelta1 (1); arr-3 (1); OXA-540 (1); aadA6 (1); OXA-928 (1); catB8 (1); aadA13 (1); qacE (1); aadA9 (1); OXA-677 (1); OXA-16 (1); aadA25 (1); OXA-794 (1)	633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	76.00	24.00	100.00	100.00	1374.00	23.82	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	6.00	2.00	8.00	19.21	611.00	22.00	0	0	0	0	N/A	N/A		3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
dfrA21	3003017	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	6.00	1.00	7.00	79.72	397.00	18.00	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); GES-18 (1)	498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
myrA	3001300	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	1.00	1.00	2.00	7.09	63.00	11.00	0	0	0	0	N/A	N/A		888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
tet(42)	3000572	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus sp.	3.00	3.00	6.00	9.48	122.00	11.00	0	0	0	0	N/A	N/A		1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.00	1.00	4.00	21.51	262.00	17.50	0	0	0	0	N/A	N/A		1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
fosA5	3003209	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.00	4.00	10.00	80.71	339.00	3.70	0	0	0	0	N/A	N/A		420	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
arr-4	3002849	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	13.25	60.00	11.00	0	0	0	0	N/A	N/A		453	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	22.00	7.00	29.00	96.58	933.00	0.93	0	0	0	0	N/A	N/A	CfxA (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
GES-14	3002343	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	47.00	9.00	56.00	98.15	848.00	0.77	0	0	0	0	N/A	N/A	GES-4 (1); GES-1 (1); AAC(6')-Ib7 (1); GES-22 (1); GES-27 (1); GES-5 (1); GES-42 (1); GES-7 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-12	3001407	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	5.00	1.00	6.00	54.97	437.00	11.00	0	0	0	0	N/A	N/A		795	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OCH-3	3002516	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	2.00	2.00	4.00	17.14	201.00	0.25	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
GES-12	3002341	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	41.00	5.00	46.00	91.78	793.00	0.74	0	0	0	0	N/A	N/A	GES-38 (1); GES-11 (1); GES-24 (1); GES-8 (1); GES-2 (1); dfrB2 (1); GES-30 (1); ANT(3'')-IIa (1); GES-46 (1); GES-18 (1); qacEdelta1 (1); cmlA5 (1); GES-25 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(3)-Ib/AAC(6')-Ib''	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	14.00	4.00	18.00	55.12	554.00	1.78	0	0	0	0	N/A	N/A	qacL (1); cmlA6 (1); QnrVC4 (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1); AAC(6')-Ib7 (1)	1005	AAC(3); AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
SHV-35	3001093	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	17.54	151.00	0.50	0	0	0	0	N/A	N/A		861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-21	3001416	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	111.00	28.00	139.00	100.00	828.00	3.34	0	0	0	0	N/A	N/A	OXA-3 (1); AAC(6')-Ib7 (1); aadA5 (1); qacL (1); OXA-161 (1); OXA-141 (1); OXA-32 (1); aadA21 (1); qacEdelta1 (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
GES-3	3002332	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	17.00	5.00	22.00	84.49	730.00	0.68	0	0	0	0	N/A	N/A	GES-39 (1); GES-6 (1); AAC(6')-Ib7 (1); GES-25 (1); GES-34 (1); GES-35 (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1); GES-22 (1); dfrB2 (1); GES-20 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
MIR-2	3002168	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	3.00	2.00	5.00	38.74	444.00	2.60	0	0	0	0	N/A	N/A	MIR-9 (1)	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	5.00	5.00	10.00	26.42	191.00	11.80	0	0	0	0	N/A	N/A		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-9	3001404	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	14.00	2.00	16.00	83.03	685.00	3.88	0	0	0	0	N/A	N/A	aadA10 (1); AAC(6')-Ib7 (1); ANT(3'')-IIa (1); qacEdelta1 (1); qacE (1)	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	844.00	153.00	997.00	100.00	1260.00	5.33	0	0	0	0	N/A	N/A	cmlA4 (1); Salmonella_enterica_cmlA (1); cmlA1 (1); cmlA6 (1); AAC(6')-Ib7 (1); dfrA15 (1); AAC(6')-Ib4 (1); AAC(6')-Ib (1); GES-13 (1); GES-15 (1); arr-2 (1); GES-12 (1); AAC(6')-Ib3 (1); AAC(6')-Ib-Hangzhou (1); GES-43 (1); cmlA8 (1); VEB-26 (1); VEB-10 (1); OXA-74 (1); VEB-19 (1); VEB-25 (1); VEB-11 (1); OXA-823 (1); VEB-27 (1); VEB-1 (1); qacEdelta1 (1); VEB-8 (1); qacE (1); VEB-4 (1); VEB-1b (1); OXA-17 (1); VEB-14 (1); VEB-2 (1); OXA-935 (1); VEB-21 (1); OXA-520 (1); OXA-246 (1); VEB-9 (1); OXA-233 (1); VEB-7 (1); OXA-824 (1); OXA-656 (1)	1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
CMY-21	3002032	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	22.86	262.00	1.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACT-37	3003172	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	1.00	2.00	13.18	151.00	5.50	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	66.00	34.00	100.00	100.00	804.00	2.51	0	0	0	0	N/A	N/A	lnuB (1)	804	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	43.00	21.00	64.00	95.18	948.00	17.92	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CMY-8	3002019	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	1.00	4.00	26.28	302.00	0.50	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
CMY-4	3002015	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	10.00	0.00	10.00	53.89	616.00	10.00	0	0	0	0	N/A	N/A	CMY-32 (1); CMY-165 (1); CMY-30 (1); CMY-46 (1)	1143	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-7	3002376	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	11.00	3.00	14.00	79.56	716.00	0.43	0	0	0	0	N/A	N/A	VEB-24 (1); cmlA5 (1); VEB-20 (1); VEB-6 (1); catB8 (1); ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	103.00	57.00	160.00	83.71	992.00	15.04	0	0	0	0	N/A	N/A	MexA (1); smeE (1)	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
vatD	3002843	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	1.00	2.00	11.87	73.00	11.00	0	0	0	0	N/A	N/A		615	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	9.00	1.00	10.00	79.29	647.00	39.20	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	18.00	4.00	22.00	95.13	919.00	0.82	0	0	0	0	N/A	N/A	CfxA3 (1); CfxA5 (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
OXA-145	3001804	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	20.00	12.00	32.00	98.12	783.00	3.31	0	0	0	0	N/A	N/A	OXA-101 (1); OXA-183 (1); OXA-736 (1)	798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(6')-29a	3002583	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	1.00	2.00	37.56	151.00	0.50	0	0	0	0	N/A	N/A		402	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	7.00	3.00	10.00	64.34	498.00	29.80	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
aadA9	3002609	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	51.00	41.00	92.00	16.22	146.00	1.30	0	0	0	0	N/A	N/A	GES-30 (1); catB3 (1); VEB-1 (1); VEB-20 (1); VEB-17 (1); qacL (1); aadA16 (1); sul1 (1)	900	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OprN	3000805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	300.00	106.00	406.00	88.51	1256.00	16.92	0	0	0	0	N/A	N/A	ceoB (1); MexD (1); MexF (1); oqxB (1); APH(6)-Id (1)	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
GES-17	3002346	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	29.00	13.00	42.00	91.44	790.00	0.64	0	0	0	0	N/A	N/A	dfrB2 (1); GES-19 (1); AAC(6')-Ib7 (1); GES-27 (1); GES-42 (1); aadA6 (1); AAC(6')-Ib9 (1); GES-38 (1); AAC(6')-Ib8 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
vanR gene in vanF cluster	3002925	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus popilliae	1.00	1.00	2.00	5.46	38.00	11.00	0	0	0	0	N/A	N/A		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
CepS	3003553	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	7.00	4.00	11.00	9.75	112.00	14.00	0	0	0	0	N/A	N/A	PDC-359 (1)	1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
