ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
DHA-15	3002146	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	4.00	0.00	4.00	42.46	484.00	1.00	0	0	0	0	N/A	N/A		1140	DHA beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	3133.00	317.00	3450.00	100.00	1476.00	38.92	0	0	0	0	N/A	N/A	mphE (1)	1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	18.00	12.00	30.00	100.00	426.00	20.27	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	5.00	2.00	7.00	65.16	303.00	28.00	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1)	465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
golS	3000504	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.00	1.00	2.00	22.58	105.00	11.00	0	0	0	0	N/A	N/A		465	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	143.00	19.00	162.00	100.00	1467.00	37.58	0	0	0	0	N/A	N/A	mdtO (1)	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	10.00	5.00	15.00	55.30	637.00	4.00	0	0	0	0	N/A	N/A	MOX-13 (1); MOX-6 (1); MOX-9 (1)	1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
TEM-34	3000904	protein homolog model	CARD	1	100.0	no data	no data	Haemophilus parainfluenzae	2.00	0.00	2.00	25.78	222.00	1.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
OXA-256	3001502	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	28.00	6.00	34.00	94.01	753.00	0.74	0	0	0	0	N/A	N/A	OXA-142 (1); qacE (1); OXA-823 (1); aadA24 (1); aadA4 (1); OXA-14 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	165.00	72.00	237.00	99.24	652.00	0.59	0	0	0	0	N/A	N/A	QnrS2 (1)	657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CMY-42	3002053	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	1.00	5.00	37.87	434.00	0.80	0	0	0	0	N/A	N/A	CMY-138 (1)	1146	CMY beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	112.00	19.00	131.00	94.41	524.00	8.57	0	0	0	0	N/A	N/A	QnrVC5 (1); EreA (1); cmlA6 (1); cmlA5 (1); cmlA1 (1); AAC(6')-Ib-cr3 (1); cmlA4 (1); AAC(6')-Ib7 (1); AAC(6')-Ib9 (1); AAC(6')-Ib-cr4 (1)	555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
GES-21	3002350	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	11.00	3.00	14.00	62.73	542.00	0.79	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); GES-37 (1); GES-14 (1); QnrVC5 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
aadA23	3002620	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	59.00	15.00	74.00	95.38	744.00	0.77	0	0	0	0	N/A	N/A	OXA-240 (1); AAC(6')-Ib7 (1); aadA8 (1); aadA6 (1); OXA-928 (1); aadA (1); aadA13 (1); dfrA1 (1); qacE (1); dfrA14 (1); OXA-47 (1); OXA-732 (1); ANT(3'')-IIa (1); qacEdelta1 (1); aadA15 (1); OXA-541 (1)	780	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-35	3001429	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.00	2.00	10.00	84.02	673.00	0.80	0	0	0	0	N/A	N/A	OXA-145 (1); OXA-676 (1)	801	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
PER-4	3002366	protein homolog model	CARD	1	100.0	no data	no data	Proteus vulgaris	1.00	1.00	2.00	12.84	119.00	0.50	0	0	0	0	N/A	N/A		927	PER beta-lactamase	monobactam; carbapenem; cephalosporin; penam; penem	antibiotic inactivation
IMP-42	3002233	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter soli	1.00	1.00	2.00	7.29	54.00	0.00	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
TEM-102	3000965	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pWW100	1.00	0.00	1.00	17.54	151.00	1.00	0	0	0	0	N/A	N/A	TEM-15 (1)	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
CMY-55	3002066	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	1.00	3.00	26.35	302.00	0.67	0	0	0	0	N/A	N/A	CMY-54 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	46.00	16.00	62.00	100.00	825.00	30.05	0	0	0	0	N/A	N/A		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	53.00	17.00	70.00	86.56	792.00	22.69	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	fluoroquinolone antibiotic; monobactam; cephalosporin	antibiotic inactivation
CARB-4	3002243	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.00	2.00	9.00	63.32	549.00	2.89	0	0	0	0	N/A	N/A	CARB-52 (1)	867	CARB beta-lactamase	penam	antibiotic inactivation
VEB-5	3002375	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	31.00	6.00	37.00	78.44	706.00	0.78	0	0	0	0	N/A	N/A	VEB-24 (1); VEB-10 (1); VEB-13 (1); ANT(2'')-Ia (1); VEB-22 (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
aadA4	3002604	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	211.00	46.00	257.00	100.00	789.00	13.47	0	0	0	0	N/A	N/A	OXA-732 (1); OXA-256 (1); OXA-246 (1); OXA-454 (1); OXA-205 (1); qacL (1); qacE (1); qacEdelta1 (1)	789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	358.00	85.00	443.00	99.20	3089.00	28.86	0	0	0	0	N/A	N/A	mdtE (1); MexB (1); smeE (1); smeB (1); gadW (1)	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
SHV-64	3001119	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	2.00	4.00	33.91	292.00	0.50	0	0	0	0	N/A	N/A		861	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	296.00	292.00	588.00	21.66	358.00	10.43	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
rgt1438	3002883	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces sp.	1.00	1.00	2.00	3.24	40.00	11.00	0	0	0	0	N/A	N/A		1236	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation
CMY-9	3002020	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	2.00	6.00	26.02	299.00	0.33	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
QnrB10	3002724	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	7.00	2.00	9.00	36.71	250.00	0.11	0	0	0	0	N/A	N/A	QnrB19 (1)	681	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
cphA7	3003103	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	22.00	18.00	40.00	97.91	749.00	4.42	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	54.00	10.00	64.00	100.00	792.00	0.70	0	0	0	0	N/A	N/A	aadA8b (1); aadA8 (1); aadA2 (1); aadA17 (1); GES-20 (1); aadA22 (1); OXA-11 (1); OXA-823 (1); AAC(6')-Ib7 (1); aadA24 (1); OXA-233 (1); aadA6 (1); OXA-544 (1); ANT(3'')-IIa (1); OXA-210 (1); OXA-836 (1); aadA3 (1); qacEdelta1 (1)	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	122.00	23.00	145.00	100.00	633.00	28.37	0	0	0	0	N/A	N/A	catB8 (1); AAC(6')-30/AAC(6')-Ib'_fusion_protein (1); OXA-320 (1); ANT(2'')-Ia (1); AAC(6')-Ib9 (1); dfrA7 (1); AAC(6')-Ib7 (1); OXA-33 (1); arr-2 (1); OXA-921 (1); aadA22 (1); AAC(6')-Ib-Hangzhou (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1); OXA-935 (1); OXA-415 (1); qacEdelta1 (1); OXA-794 (1); arr-3 (1); aadA (1); qacE (1); aadA8 (1); AAC(6')-Ib-cr3 (1); EreA2 (1)	633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	292.00	52.00	344.00	100.00	1374.00	29.51	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	6.00	2.00	8.00	18.65	593.00	17.50	0	0	0	0	N/A	N/A		3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
dfrA21	3003017	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	5.00	0.00	5.00	71.69	357.00	5.00	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1)	498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
myrA	3001300	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	1.00	1.00	2.00	6.53	58.00	11.00	0	0	0	0	N/A	N/A		888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
tet(42)	3000572	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus sp.	3.00	3.00	6.00	12.43	160.00	11.00	0	0	0	0	N/A	N/A		1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	26.00	6.00	32.00	92.53	1127.00	33.91	0	0	0	0	N/A	N/A		1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
fosA5	3003209	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	24.00	14.00	38.00	99.05	416.00	2.92	0	0	0	0	N/A	N/A		420	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	108.00	28.00	136.00	100.00	966.00	1.68	0	0	0	0	N/A	N/A	CfxA4 (1); CfxA3 (1); CfxA5 (1); CfxA (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CMY-25	3002036	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	2.00	4.00	14.05	161.00	0.50	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
GES-14	3002343	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	28.00	5.00	33.00	93.29	806.00	0.82	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); dfrA15 (1); GES-13 (1); GES-30 (1); GES-21 (1); GES-9 (1); GES-17 (1); qacE (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OCH-1	3002514	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	1.00	1.00	2.00	3.50	41.00	0.00	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
OXA-12	3001407	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	4.00	2.00	6.00	55.85	444.00	9.67	0	0	0	0	N/A	N/A		795	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OCH-3	3002516	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	2.00	2.00	4.00	4.26	50.00	0.00	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
APH(4)-Ia	3002655	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.00	0.00	6.00	53.22	546.00	42.00	0	0	0	0	N/A	N/A		1026	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
GES-12	3002341	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	26.00	5.00	31.00	76.62	662.00	0.77	0	0	0	0	N/A	N/A	GES-13 (1); AAC(6')-Ib7 (1); GES-16 (1); GES-29 (1); QnrVC4 (1); dfrB5 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
AAC(3)-Ib/AAC(6')-Ib''	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	10.00	4.00	14.00	59.50	598.00	0.57	0	0	0	0	N/A	N/A	QnrVC5 (1); QnrVC4 (1); cmlA4 (1); GES-11 (1); OXA-368 (1)	1005	AAC(3); AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
OXA-21	3001416	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	45.00	8.00	53.00	100.00	828.00	3.47	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); aadA6 (1); GES-26 (1); OXA-226 (1); qacE (1); aadA17 (1); qacEdelta1 (1); ANT(3'')-Ii-AAC(6')-IId_fusion_protein (1)	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
GES-3	3002332	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	9.00	3.00	12.00	75.69	654.00	0.75	0	0	0	0	N/A	N/A	GES-20 (1); GES-11 (1)	864	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OKP-B-3	3002436	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	16.26	140.00	1.00	0	0	0	0	N/A	N/A	OKP-B-2 (1)	861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	4.00	4.00	8.00	22.82	165.00	11.25	0	0	0	0	N/A	N/A		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
LEN-21	3002468	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	17.54	151.00	0.50	0	0	0	0	N/A	N/A		861	LEN beta-lactamase	penam; penem	antibiotic inactivation
QnrS8	3002797	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	22.53	148.00	0.50	0	0	0	0	N/A	N/A		657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
SHV-152	3001191	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	35.20	302.00	1.00	0	0	0	0	N/A	N/A		858	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-9	3001404	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	5.00	1.00	6.00	50.06	413.00	0.83	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	805.00	109.00	914.00	100.00	1260.00	5.73	0	0	0	0	N/A	N/A	cmlA1 (1); Salmonella_enterica_cmlA (1); AAC(6')-Ib (1); arr-2 (1); aadA6 (1); AAC(6')-Ib7 (1); dfrB2 (1); arr-3 (1); AAC(6')-Ib9 (1); ANT(2'')-Ia (1); AAC(6')-Ib-Hangzhou (1); AAC(6')-Ib8 (1); cmlA6 (1); AAC(6')-Ib10 (1); cmlA4 (1); AAC(6')-Ib4 (1); aadA25 (1); mphE (1); VEB-26 (1); VEB-1 (1); VEB-19 (1); VEB-14 (1); VEB-4 (1); qacEdelta1 (1); VEB-9 (1); VEB-25 (1); VEB-24 (1); VEB-22 (1); OXA-935 (1); OXA-142 (1); VEB-12 (1); VEB-10 (1); dfrA15 (1); OXA-836 (1); OXA-74 (1); qacE (1); OXA-823 (1); OXA-233 (1); sul1 (1); OXA-246 (1); OXA-11 (1); VEB-7 (1)	1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
OKP-B-9	3002442	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	7.67	66.00	0.00	0	0	0	0	N/A	N/A	OKP-B-21 (1)	861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	54.00	16.00	70.00	100.00	804.00	2.99	0	0	0	0	N/A	N/A	lnuB (1)	804	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	107.00	34.00	141.00	100.00	996.00	19.79	0	0	0	0	N/A	N/A	CfxA4 (1)	996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CMY-8	3002019	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	38.56	443.00	1.00	0	0	0	0	N/A	N/A	CMY-11 (1)	1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
CMY-4	3002015	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	62.00	1.00	63.00	81.63	933.00	10.35	0	0	0	0	N/A	N/A	CMY-29 (1); CMY-147 (1); CMY-142 (1); CMY-36 (1); CMY-18 (1); CMY-153 (1); CMY-58 (1); CMY-130 (1); CMY-136 (1); CMY-22 (1); CMY-131 (1); CMY-53 (1); CMY-111 (1)	1143	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-7	3002376	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	15.00	3.00	18.00	78.44	706.00	0.72	0	0	0	0	N/A	N/A	VEB-22 (1); cmlA5 (1); VEB-10 (1); ANT(2'')-Ia (1)	900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
OKP-B-2	3002435	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	17.54	151.00	1.00	0	0	0	0	N/A	N/A	OKP-B-3 (1)	861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
imiS	3003095	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	2.00	2.00	4.00	10.29	79.00	11.00	0	0	0	0	N/A	N/A		768	CphA beta-lactamase	carbapenem	antibiotic inactivation
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	71.00	47.00	118.00	91.81	1088.00	14.14	0	0	0	0	N/A	N/A	MexA (1); smeE (1); AcrF (1)	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
SHV-162	3001201	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	17.60	151.00	1.00	0	0	0	0	N/A	N/A	SHV-11 (1)	858	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-60	3002073	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	1.00	5.00	34.90	400.00	0.80	0	0	0	0	N/A	N/A	CMY-131 (1)	1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	2.00	0.00	2.00	33.07	253.00	42.00	0	0	0	0	N/A	N/A		765	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
vatD	3002843	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	1.00	2.00	23.09	142.00	11.00	0	0	0	0	N/A	N/A		615	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	13.00	3.00	16.00	94.98	775.00	31.62	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	60.00	17.00	77.00	100.00	966.00	1.10	0	0	0	0	N/A	N/A	CfxA (1); CfxA5 (1); CfxA2 (1); CfxA3 (1); CfxA6 (1)	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
OXA-145	3001804	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	6.00	1.00	7.00	57.89	462.00	0.86	0	0	0	0	N/A	N/A	AAC(6')-Ib7 (1); OXA-35 (1); aadA24 (1)	798	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
CMY-95	3002108	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	1.00	2.00	12.65	145.00	0.50	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	5.00	1.00	6.00	60.34	467.00	36.67	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
